Rank,University,Country,FTE_students,Staff_students,International_students_pct,Female_male_ratio,Overall,Teaching,Research,Citations,Industry_income,International_outlook
201–250,University of South Florida (Tampa),United States,"33,885",18.9,14%,n/a,50.1–53.7,30.5,34.2,87.3,89.0,54.7
201–250,Tilburg University,Netherlands,"8,033",21.4,15%,50 : 50,50.1–53.7,36.8,48.8,62.1,55.9,78.2
201–250,University of Twente,Netherlands,"7,584",13.9,32%,37 : 63,50.1–53.7,35.2,46.8,55.6,85.0,90.8
201–250,Ulsan National Institute of Science and Technology (UNIST),South Korea,"4,127",13.9,8%,26 : 74,50.1–53.7,27.8,38.6,91.3,80.5,51.9
201–250,University College Dublin,Ireland,"22,541",23.1,29%,n/a,50.1–53.7,30.8,36.5,73.6,43.9,92.5
201–250,University of Utah,United States,"30,365",14.2,8%,47 : 53,50.1–53.7,39.0,34.7,86.4,48.3,33.0
201–250,Virginia Polytechnic Institute and State University,United States,"32,838",18.3,14%,43 : 57,50.1–53.7,37.5,42.3,70.9,47.5,54.0
201–250,Vita-Salute San Raffaele University,Italy,"2,610",10.7,3%,59 : 41,50.1–53.7,38.7,22.4,97.6,35.9,43.1
201–250,Vrije Universiteit Brussel,Belgium,"11,371",28.4,22%,54 : 46,50.1–53.7,37.4,42.3,62.7,87.0,75.4
201–250,Wake Forest University,United States,"7,675",4.0,9%,53 : 47,50.1–53.7,42.8,18.8,94.1,43.6,31.2
201–250,University of Waterloo,Canada,"33,519",23.6,20%,47 : 53,50.1–53.7,35.0,42.1,66.3,45.1,84.1
201–250,Western University,Canada,"29,865",23.1,18%,56 : 44,50.1–53.7,40.2,35.7,76.4,59.1,80.0
201–250,William & Mary,United States,"8,235",11.4,9%,55 : 45,50.1–53.7,47.5,21.1,87.4,35.3,37.3
201–250,University of Wollongong,Australia,"18,642",31.5,29%,52 : 48,50.1–53.7,29.9,35.0,75.5,55.7,93.4
251–300,Alfaisal University,Saudi Arabia,"2,566",10.4,34%,60 : 40,46.9–50.0,19.6,21.2,95.0,50.4,98.1
251–300,Auckland University of Technology,New Zealand,"18,035",17.1,47%,59 : 41,46.9–50.0,19.7,18.4,98.0,36.7,95.8
251–300,Autonomous University of Madrid,Spain,"29,576",13.4,14%,61 : 39,46.9–50.0,40.1,28.7,74.5,38.6,51.5
251–300,University of Bath,United Kingdom,"13,825",16.4,32%,46 : 54,46.9–50.0,28.6,31.1,75.7,37.5,90.3
251–300,Brighton and Sussex Medical School,United Kingdom,879,11.3,15%,57 : 43,46.9–50.0,15.9,19.9,100.0,34.4,77.7
251–300,University at Buffalo,United States,"25,849",17.4,17%,44 : 56,46.9–50.0,37.2,32.7,73.8,42.1,64.7
251–300,"University of California, Riverside",United States,"22,272",18.0,14%,53 : 47,46.9–50.0,31.2,30.3,85.9,39.4,64.7
251–300,Chalmers University of Technology,Sweden,"9,209",12.5,17%,32 : 68,46.9–50.0,36.1,42.1,60.0,74.1,82.9
251–300,University of Cincinnati – Uptown,United States,"28,434",20.4,9%,51 : 49,46.9–50.0,35.5,30.8,83.9,39.4,40.9
251–300,Curtin University,Australia,"29,214",20.2,31%,51 : 49,46.9–50.0,23.4,30.4,83.2,44.8,94.2
251–300,Dalhousie University,Canada,"15,196",14.7,23%,54 : 46,46.9–50.0,27.7,29.6,79.5,44.4,85.4
251–300,University of Delaware,United States,"20,566",17.0,10%,57 : 43,46.9–50.0,28.5,38.2,71.5,90.6,47.2
251–300,École des Ponts ParisTech,France,"2,005",11.3,44%,32 : 68,46.9–50.0,39.9,24.5,73.1,57.5,82.3
251–300,University of Essex,United Kingdom,"11,923",16.1,39%,54 : 46,46.9–50.0,31.6,34.3,68.6,35.0,96.5
251–300,Flinders University,Australia,"16,844",25.8,34%,64 : 36,46.9–50.0,22.5,29.9,84.4,37.7,88.0
251–300,Florida State University,United States,"38,520",24.1,7%,56 : 44,46.9–50.0,38.0,40.1,69.2,39.4,43.5
251–300,George Mason University,United States,"29,377",18.0,10%,54 : 46,46.9–50.0,29.9,26.3,89.5,35.8,46.2
251–300,Heriot-Watt University,United Kingdom,"9,189",17.2,35%,41 : 59,46.9–50.0,28.4,26.7,75.2,42.0,94.0
251–300,HSE University,Russian Federation,"22,111",13.1,9%,n/a,46.9–50.0,35.9,37.3,78.1,56.5,42.0
251–300,University of Illinois at Chicago,United States,"27,031",11.5,20%,52 : 48,46.9–50.0,45.0,33.4,69.7,43.2,54.9
251–300,University of Kiel,Germany,"26,412",22.2,8%,53 : 47,46.9–50.0,30.6,27.5,86.8,34.4,54.9
251–300,La Trobe University,Australia,"22,292",33.9,29%,64 : 36,46.9–50.0,27.1,33.1,73.3,51.3,83.8
251–300,Université Laval,Canada,"29,250",17.3,13%,57 : 43,46.9–50.0,40.1,31.8,67.6,59.6,69.2
251–300,Macau University of Science and Technology,Macao,"9,924",24.4,79%,56 : 44,46.9–50.0,27.1,22.4,83.0,34.8,99.6
251–300,Medical University of Innsbruck,Austria,"2,966",4.3,44%,52 : 48,46.9–50.0,30.5,14.2,89.1,51.5,93.9
251–300,"National University of Ireland, Galway",Ireland,"13,911",26.6,17%,58 : 42,46.9–50.0,27.1,29.9,76.3,42.4,79.8
251–300,University of Navarra,Spain,"10,833",13.0,22%,53 : 47,46.9–50.0,30.4,27.9,80.3,85.5,65.1
251–300,University of Oregon,United States,"22,143",10.8,12%,54 : 46,46.9–50.0,34.0,29.3,83.7,34.7,37.0
251–300,Oregon Health and Science University,United States,"2,895",1.0,3%,66 : 34,46.9–50.0,35.7,16.7,99.7,47.6,26.6
251–300,University of Oulu,Finland,"10,086",30.0,6%,51 : 49,46.9–50.0,30.3,34.4,76.4,43.0,54.3
251–300,University of Passau,Germany,"11,387",86.6,12%,59 : 41,46.9–50.0,32.8,39.3,75.5,47.5,59.1
251–300,University of Potsdam,Germany,"20,063",53.9,11%,57 : 43,46.9–50.0,36.8,40.8,65.2,56.2,57.4
251–300,Queen’s University,Canada,"23,306",25.1,13%,58 : 42,46.9–50.0,41.5,37.8,62.6,65.7,66.3
251–300,"Royal Holloway, University of London",United Kingdom,"9,503",15.2,36%,59 : 41,46.9–50.0,30.6,30.2,73.4,37.1,92.8
251–300,Ruhr University Bochum,Germany,"43,015",60.5,14%,49 : 51,46.9–50.0,39.7,45.0,57.9,54.5,55.0
251–300,University of São Paulo,Brazil,"83,214",15.9,4%,48 : 52,46.9–50.0,56.4,54.0,40.6,39.9,33.9
251–300,Sapienza University of Rome,Italy,"71,318",21.3,6%,57 : 43,46.9–50.0,40.4,40.0,69.8,43.6,40.5
251–300,Simon Fraser University,Canada,"26,521",27.3,30%,55 : 45,46.9–50.0,24.1,35.5,75.3,47.0,91.1
251–300,University of South Australia,Australia,"20,268",30.5,25%,58 : 42,46.9–50.0,31.5,39.4,65.8,82.5,89.3
251–300,University of Southern Denmark,Denmark,"21,281",12.1,17%,53 : 47,46.9–50.0,21.4,28.1,85.1,69.7,80.9
251–300,Stellenbosch University,South Africa,"24,308",26.1,8%,55 : 45,46.9–50.0,29.5,34.6,74.4,59.1,54.8
251–300,University of Stuttgart,Germany,"26,004",45.8,20%,32 : 68,46.9–50.0,41.8,45.4,52.4,61.1,53.1
251–300,Sun Yat-sen University,China,"53,603",16.6,9%,51 : 49,46.9–50.0,43.6,35.8,63.5,56.4,34.9
251–300,University of Surrey,United Kingdom,"13,125",16.0,37%,55 : 45,46.9–50.0,30.2,34.3,71.9,46.8,93.7
251–300,Swansea University,United Kingdom,"16,445",16.7,23%,45 : 55,46.9–50.0,21.3,24.1,93.3,36.8,83.2
251–300,Syracuse University,United States,"20,236",15.7,20%,53 : 47,46.9–50.0,35.1,29.6,78.1,35.3,48.7
251–300,Tampere University,Finland,"15,149",21.8,6%,51 : 49,46.9–50.0,26.4,34.7,81.8,52.6,49.3
251–300,Technical University of Darmstadt,Germany,"18,166",40.8,17%,30 : 70,46.9–50.0,42.4,44.2,50.4,89.5,57.2
251–300,Tohoku University,Japan,"17,735",8.2,12%,27 : 73,46.9–50.0,52.7,54.4,39.8,86.4,38.1
251–300,Tokyo Institute of Technology,Japan,"9,752",7.7,13%,15 : 85,46.9–50.0,51.2,51.8,37.4,69.3,40.5
251–300,Western Sydney University,Australia,"32,259",35.7,17%,56 : 44,46.9–50.0,23.5,29.1,82.8,40.4,83.7
301–350,Aix-Marseille University,France,"67,857",16.6,12%,59 : 41,44.5–46.8,41.3,25.3,67.1,36.8,60.5
301–350,Anglia Ruskin University ARU,United Kingdom,"18,022",23.1,30%,63 : 37,44.5–46.8,17.9,14.4,99.9,35.1,83.7
301–350,Beijing Normal University,China,"23,524",15.4,11%,n/a,44.5–46.8,46.5,39.6,48.6,57.1,42.9
301–350,Boston College,United States,"12,904",15.7,11%,55 : 45,44.5–46.8,36.7,33.7,69.2,34.4,42.3
301–350,University of Canterbury,New Zealand,"13,089",18.0,24%,50 : 50,44.5–46.8,24.3,27.2,72.7,38.5,93.1
301–350,Colorado School of Mines,United States,"5,768",16.7,11%,29 : 71,44.5–46.8,30.1,25.1,79.6,46.6,42.1
301–350,Cyprus University of Technology,Cyprus,"3,228",17.4,8%,54 : 46,44.5–46.8,17.2,16.3,98.0,35.3,72.0
301–350,Deakin University,Australia,"39,305",28.6,22%,58 : 42,44.5–46.8,23.8,29.6,73.5,40.6,85.2
301–350,University of Fribourg,Switzerland,"10,887",32.3,18%,59 : 41,44.5–46.8,31.8,32.4,64.7,54.1,87.3
301–350,Goethe University Frankfurt,Germany,"47,141",19.6,15%,57 : 43,44.5–46.8,31.7,29.5,75.6,43.2,59.9
301–350,Grenoble Alpes University,France,"41,411",17.6,13%,52 : 48,44.5–46.8,34.0,30.4,69.7,36.0,59.9
301–350,Huazhong University of Science and Technology,China,"56,379",16.5,5%,36 : 64,44.5–46.8,41.0,39.1,59.8,90.4,25.8
301–350,Indian Institute of Science,India,"4,128",9.6,1%,23 : 77,44.5–46.8,58.6,55.3,32.4,57.1,20.2
301–350,Indian Institute of Technology Ropar,India,"1,119",7.6,0%,13 : 87,44.5–46.8,28.1,12.8,100.0,36.2,18.0
301–350,Jacobs University,Germany,"1,142",16.2,76%,45 : 55,44.5–46.8,40.6,33.2,50.7,55.1,88.7
301–350,Johannes Gutenberg University of Mainz,Germany,"31,919",26.9,11%,59 : 41,44.5–46.8,35.2,22.6,77.4,68.9,56.7
301–350,University of Klagenfurt,Austria,"3,639",10.8,22%,69 : 31,44.5–46.8,25.3,16.5,86.5,37.2,87.3
301–350,Kyung Hee University,South Korea,"22,102",17.3,22%,51 : 49,44.5–46.8,33.8,40.5,56.4,84.9,62.6
301–350,University of Liège,Belgium,"20,888",27.0,21%,56 : 44,44.5–46.8,27.6,38.2,60.5,95.9,70.6
301–350,University of Macau,Macao,"9,340",14.4,37%,57 : 43,44.5–46.8,32.3,32.6,61.9,41.0,98.5
301–350,University of Malaya,Malaysia,"15,140",8.0,20%,63 : 37,44.5–46.8,41.6,30.5,56.6,48.1,81.6
301–350,University of Marburg,Germany,"25,541",34.7,12%,55 : 45,44.5–46.8,33.8,29.1,73.4,39.1,53.6
301–350,Maynooth University,Ireland,"9,291",28.3,12%,55 : 45,44.5–46.8,20.3,29.8,80.3,37.3,78.2
301–350,University of Milan,Italy,"45,451",21.4,6%,59 : 41,44.5–46.8,35.9,28.9,72.2,37.7,42.6
301–350,Montpellier University,France,"39,405",19.5,15%,53 : 47,44.5–46.8,36.3,27.1,67.1,37.3,61.6
301–350,Nagoya University,Japan,"15,676",9.2,11%,30 : 70,44.5–46.8,47.8,47.8,43.4,76.8,32.8
301–350,University of Newcastle,Australia,"22,100",20.7,18%,55 : 45,44.5–46.8,24.5,28.3,76.6,49.9,83.1
301–350,University of New Mexico (Main campus),United States,"19,382",17.1,5%,55 : 45,44.5–46.8,29.2,31.8,83.6,37.4,33.2
301–350,North Carolina State University,United States,"30,231",12.5,15%,45 : 55,44.5–46.8,36.7,35.3,64.7,43.2,57.8
301–350,Nova Southeastern University,United States,"17,785",23.4,6%,69 : 31,44.5–46.8,33.8,10.3,99.5,34.4,29.5
301–350,Osaka University,Japan,"22,892",7.4,11%,32 : 68,44.5–46.8,51.5,49.0,34.6,63.0,36.0
301–350,Politecnico di Milano,Italy,"35,184",25.0,17%,34 : 66,44.5–46.8,33.1,35.2,59.6,72.5,59.0
301–350,Reykjavík University,Iceland,"2,879",24.9,8%,41 : 59,44.5–46.8,14.4,18.2,100.0,36.5,64.1
301–350,Rush University,United States,"2,425",2.0,1%,74 : 26,44.5–46.8,37.2,12.9,92.1,41.3,19.7
301–350,Southern University of Science and Technology (SUSTech),China,"3,198",9.5,0%,27 : 73,44.5–46.8,23.9,23.5,85.3,70.5,59.7
301–350,Stony Brook University,United States,"24,201",10.5,23%,50 : 50,44.5–46.8,34.4,23.5,77.0,36.1,71.5
301–350,Swedish University of Agricultural Sciences,Sweden,"3,737",4.5,4%,69 : 31,44.5–46.8,31.1,29.5,73.5,94.8,47.6
301–350,University of Tartu,Estonia,"8,532",11.6,8%,68 : 32,44.5–46.8,26.8,27.1,82.4,37.5,55.4
301–350,University of Tasmania,Australia,"18,219",24.9,30%,60 : 40,44.5–46.8,26.0,33.7,63.0,50.1,88.2
301–350,Temple University,United States,"35,814",13.0,9%,53 : 47,44.5–46.8,39.3,23.5,79.3,34.4,37.7
301–350,The University of Tennessee-Knoxville,United States,"25,907",16.8,5%,n/a,44.5–46.8,32.9,23.4,80.3,43.9,45.7
301–350,University of Texas at Dallas,United States,"22,757",21.6,25%,43 : 57,44.5–46.8,23.7,29.3,82.1,39.9,60.2
301–350,University of Trento,Italy,"12,920",19.5,7%,51 : 49,44.5–46.8,27.7,31.7,77.8,41.5,57.7
301–350,Tulane University,United States,"11,185",9.8,11%,57 : 43,44.5–46.8,42.3,24.1,72.7,37.0,41.9
301–350,Umeå University,Sweden,"17,373",12.5,11%,60 : 40,44.5–46.8,23.5,28.5,79.1,36.2,63.4
301–350,United Arab Emirates University,United Arab Emirates,"7,523",9.2,21%,83 : 17,44.5–46.8,23.7,19.1,84.7,43.3,91.6
301–350,Università della Svizzera italiana,Switzerland,"2,768",10.8,67%,49 : 51,44.5–46.8,24.6,21.9,74.6,44.0,99.6
301–350,University College Cork,Ireland,"16,861",18.0,18%,58 : 42,44.5–46.8,24.9,23.1,77.5,44.5,81.3
301–350,Victoria University,Australia,"14,815",32.2,23%,53 : 47,44.5–46.8,24.0,26.0,75.3,42.8,77.9
351–400,University of Alaska Fairbanks,United States,"3,593",8.7,5%,51 : 49,42.4–44.4,27.5,25.0,72.5,43.8,53.9
351–400,American University of Beirut,Lebanon,"8,401",8.5,21%,51 : 49,42.4–44.4,28.7,14.9,77.1,36.7,78.2
351–400,Australian Catholic University,Australia,"23,886",43.5,12%,73 : 27,42.4–44.4,20.6,27.5,73.4,39.4,74.3
351–400,Babol Noshirvani University of Technology,Iran,"5,744",29.6,0%,32 : 68,42.4–44.4,15.3,21.2,99.8,42.2,17.1
351–400,University of Bayreuth,Germany,"9,255",29.7,10%,46 : 54,42.4–44.4,34.7,34.5,55.8,59.9,55.4
351–400,"Birkbeck, University of London",United Kingdom,"8,631",15.8,38%,54 : 46,42.4–44.4,27.6,31.5,62.8,34.5,87.4
351–400,University of Bremen,Germany,"18,915",31.9,12%,51 : 49,42.4–44.4,36.9,36.1,56.0,49.0,55.7
351–400,Brunel University London,United Kingdom,"10,961",16.3,36%,47 : 53,42.4–44.4,26.9,26.9,63.2,36.8,95.3
351–400,"University of California, Merced",United States,"7,324",20.9,8%,51 : 49,42.4–44.4,17.1,21.6,95.3,38.0,42.4
351–400,Catholic University of Portugal,Portugal,"10,998",26.7,10%,60 : 40,42.4–44.4,18.3,15.0,94.6,35.9,47.4
351–400,Clark University,United States,"3,045",11.5,23%,60 : 40,42.4–44.4,24.0,22.7,79.3,34.4,57.5
351–400,University of Connecticut,United States,"32,446",15.2,9%,53 : 47,42.4–44.4,36.5,29.7,60.6,37.9,49.0
351–400,University of Crete,Greece,"13,321",23.4,4%,62 : 38,42.4–44.4,17.7,20.1,91.4,38.7,48.0
351–400,University of Denver,United States,"9,535",13.0,9%,57 : 43,42.4–44.4,40.5,22.3,75.4,35.8,27.8
351–400,University of Florence,Italy,"34,686",20.4,11%,59 : 41,42.4–44.4,37.9,25.1,65.8,42.3,46.2
351–400,"Goldsmiths, University of London",United Kingdom,"8,486",15.3,35%,66 : 34,42.4–44.4,33.8,28.6,60.4,35.1,79.4
351–400,Hanyang University,South Korea,"20,087",15.7,21%,n/a,42.4–44.4,39.1,40.0,40.1,92.3,62.3
351–400,Hasselt University,Belgium,"5,189",31.1,13%,47 : 53,42.4–44.4,28.3,38.1,56.6,49.7,68.1
351–400,Hofstra University,United States,"10,066",13.9,9%,57 : 43,42.4–44.4,38.4,13.2,79.3,34.4,29.8
351–400,University of Iceland,Iceland,"8,135",13.9,12%,67 : 33,42.4–44.4,19.5,30.0,75.0,62.7,63.6
351–400,IMT Atlantique,France,"1,676",8.2,44%,26 : 74,42.4–44.4,34.4,28.5,53.1,91.6,75.2
351–400,Indian Institute of Technology Indore,India,"1,128",9.7,0%,17 : 83,42.4–44.4,32.5,23.7,77.1,39.9,19.7
351–400,Iowa State University,United States,"32,469",18.8,12%,44 : 56,42.4–44.4,29.5,33.0,60.5,49.6,56.7
351–400,Jordan University of Science and Technology,Jordan,"21,512",13.4,17%,58 : 42,42.4–44.4,15.8,9.0,100.0,40.2,62.3
351–400,Justus Liebig University Giessen,Germany,"28,575",46.8,9%,62 : 38,42.4–44.4,37.7,34.1,53.8,41.6,53.9
351–400,University of Kent,United Kingdom,"17,754",20.0,31%,53 : 47,42.4–44.4,24.1,28.4,67.9,35.0,91.5
351–400,Khalifa University,United Arab Emirates,"3,651",9.5,26%,55 : 45,42.4–44.4,27.7,32.9,54.0,100.0,95.4
351–400,Loughborough University,United Kingdom,"14,749",14.3,25%,40 : 60,42.4–44.4,33.8,34.3,52.9,39.0,80.1
351–400,University of Manitoba,Canada,"29,311",29.4,17%,53 : 47,42.4–44.4,28.0,30.8,69.9,36.5,53.4
351–400,Nankai University,China,"28,061",13.3,7%,n/a,42.4–44.4,35.7,21.8,75.8,41.5,35.4
351–400,University of Naples Federico II,Italy,"49,604",19.6,2%,55 : 45,42.4–44.4,35.4,23.4,71.9,38.2,31.2
351–400,National Tsing Hua University,Taiwan,"14,853",18.0,10%,42 : 58,42.4–44.4,35.4,46.2,50.1,64.8,36.2
351–400,Northumbria University,United Kingdom,"21,811",17.5,17%,55 : 45,42.4–44.4,19.4,18.1,85.6,35.1,72.4
351–400,"University of Occupational and Environmental Health, Japan",Japan,"1,142",2.6,1%,54 : 46,42.4–44.4,26.9,9.6,99.8,40.2,18.1
351–400,Örebro University,Sweden,"9,735",18.5,6%,61 : 39,42.4–44.4,17.6,21.1,88.7,36.0,52.2
351–400,Oregon State University,United States,"24,798",16.0,11%,46 : 54,42.4–44.4,30.9,30.1,67.2,37.7,52.9
351–400,University of Perugia,Italy,"24,830",32.3,6%,57 : 43,42.4–44.4,18.6,22.8,87.5,45.2,44.6
351–400,University of Pisa,Italy,"33,726",22.4,6%,51 : 49,42.4–44.4,31.2,26.5,74.3,40.5,40.9
351–400,RMIT University,Australia,"33,848",22.4,30%,47 : 53,42.4–44.4,25.7,26.1,64.5,42.5,91.8
351–400,University of Salerno,Italy,"24,290",25.8,2%,56 : 44,42.4–44.4,20.2,19.5,94.0,37.3,33.9
351–400,SUNY University at Albany,United States,"15,947",16.6,10%,52 : 48,42.4–44.4,24.0,35.4,72.8,40.1,49.6
351–400,University of Stirling,United Kingdom,"9,250",15.8,23%,63 : 37,42.4–44.4,23.6,25.3,75.5,35.2,82.1
351–400,Swinburne University of Technology,Australia,"14,379",27.9,27%,36 : 64,42.4–44.4,24.5,28.9,66.5,41.0,79.3
351–400,Taipei Medical University,Taiwan,"5,973",10.2,10%,57 : 43,42.4–44.4,28.7,31.8,67.9,94.9,38.0
351–400,TU Dortmund University,Germany,"34,267",108.8,10%,45 : 55,42.4–44.4,37.6,41.4,54.2,45.8,42.2
351–400,University of Turku,Finland,"12,785",16.3,6%,63 : 37,42.4–44.4,27.1,30.8,73.5,37.3,52.6
351–400,TU Wien,Austria,"10,464",19.9,29%,29 : 71,42.4–44.4,38.4,36.8,45.5,63.7,84.0
351–400,Université de Versailles Saint-Quentin-en-Yvelines,France,"16,621",21.2,15%,59 : 41,42.4–44.4,17.3,21.1,89.9,35.4,64.2
351–400,Washington State University,United States,"27,957",18.1,7%,52 : 48,42.4–44.4,30.7,28.6,71.8,48.4,49.3
351–400,Wayne State University,United States,"22,295",11.3,9%,55 : 45,42.4–44.4,33.3,18.1,83.3,45.4,37.6
351–400,Wuhan University,China,"52,502",14.6,7%,n/a,42.4–44.4,44.0,34.0,52.5,84.7,40.4
401–500,Aberystwyth University,United Kingdom,"6,866",16.2,19%,49 : 51,38.8–42.3,24.8,22.9,66.3,39.7,78.1
401–500,The University of Alabama,United States,"35,120",22.5,4%,56 : 44,38.8–42.3,26.9,22.4,77.4,35.3,28.9
401–500,American University,United States,"11,750",11.0,12%,65 : 35,38.8–42.3,40.9,19.5,65.7,39.1,32.3
401–500,Aswan University,Egypt,"22,393",40.8,0%,59 : 41,38.8–42.3,11.9,8.7,100.0,34.4,44.6
401–500,Bangor University,United Kingdom,"9,590",16.3,23%,58 : 42,38.8–42.3,22.4,20.7,66.3,35.7,81.8
401–500,University of Bari Aldo Moro,Italy,"29,564",20.5,1%,61 : 39,38.8–42.3,16.7,17.1,87.3,36.2,32.2
401–500,Bond University,Australia,"3,341",10.3,43%,54 : 46,38.8–42.3,21.1,19.6,64.6,35.9,89.2
401–500,University of Bordeaux,France,"54,965",21.6,13%,58 : 42,38.8–42.3,30.0,22.7,66.8,36.4,58.4
401–500,Bournemouth University,United Kingdom,"13,692",17.1,18%,55 : 45,38.8–42.3,33.2,18.7,55.5,34.8,79.8
401–500,Universiti Brunei Darussalam,Brunei Darussalam,"3,830",10.9,15%,67 : 33,38.8–42.3,23.0,19.3,74.4,34.8,85.8
401–500,Cankaya University,Turkey,"9,164",28.4,2%,45 : 55,38.8–42.3,14.9,11.4,99.7,34.9,43.2
401–500,Centrale Nantes,France,"1,706",16.1,45%,26 : 74,38.8–42.3,30.4,29.6,48.6,83.2,84.1
401–500,Central South University,China,"51,546",18.4,2%,n/a,38.8–42.3,32.0,33.9,56.0,84.1,26.0
401–500,Charles University in Prague,Czech Republic,"48,623",12.7,18%,62 : 38,38.8–42.3,32.9,25.9,53.0,34.8,58.7
401–500,"City, University of London",United Kingdom,"14,362",18.5,51%,56 : 44,38.8–42.3,26.1,27.8,57.7,35.5,94.9
401–500,"Colorado State University, Fort Collins",United States,"26,014",16.3,6%,53 : 47,38.8–42.3,27.8,25.3,64.1,38.4,38.4
401–500,University of Côte d’Azur,France,"36,706",23.0,23%,55 : 45,38.8–42.3,30.0,18.3,68.5,40.4,83.2
401–500,Covenant University,Nigeria,"8,768",15.7,0%,43 : 57,38.8–42.3,27.2,14.7,78.4,43.8,26.2
401–500,University of Cyprus,Cyprus,"6,635",22.0,11%,66 : 34,38.8–42.3,24.0,24.6,62.3,47.7,81.0
401–500,University of Desarrollo,Chile,"15,384",19.0,4%,56 : 44,38.8–42.3,13.5,8.8,99.1,36.8,48.1
401–500,Diego Portales University,Chile,"17,287",14.9,2%,49 : 51,38.8–42.3,14.7,10.5,95.3,34.4,50.4
401–500,Drexel University,United States,"19,801",11.1,17%,50 : 50,38.8–42.3,35.8,20.4,64.7,41.5,50.3
401–500,University of Eastern Finland,Finland,"11,630",18.5,6%,64 : 36,38.8–42.3,24.7,27.9,70.7,39.2,50.2
401–500,École des Mines de Saint-Étienne,France,973,8.1,25%,28 : 72,38.8–42.3,35.5,11.7,64.3,47.8,68.5
401–500,Edith Cowan University,Australia,"17,560",31.3,26%,60 : 40,38.8–42.3,18.7,21.9,67.8,39.1,82.9
401–500,Federal University of Toulouse Midi-Pyrénées,France,"103,857",19.2,14%,54 : 46,38.8–42.3,28.5,25.9,60.6,37.0,63.0
401–500,University of Ferrara,Italy,"14,644",25.2,7%,56 : 44,38.8–42.3,21.0,20.2,75.0,40.3,45.5
401–500,Free University of Bozen-Bolzano,Italy,"3,891",12.0,13%,67 : 33,38.8–42.3,20.6,13.1,77.9,35.4,76.4
401–500,Fujita Health University,Japan,"2,942",3.2,0%,55 : 45,38.8–42.3,24.5,9.7,91.1,36.8,18.6
401–500,University of Genoa,Italy,"23,977",19.5,9%,55 : 45,38.8–42.3,32.1,23.1,63.8,42.9,43.9
401–500,University of Georgia,United States,"35,164",16.3,7%,57 : 43,38.8–42.3,34.9,35.8,55.8,37.2,46.0
401–500,Georgia State University,United States,"29,290",14.4,6%,61 : 39,38.8–42.3,33.9,27.2,62.9,35.4,41.9
401–500,Gwangju Institute of Science and Technology,South Korea,"2,098",12.1,6%,25 : 75,38.8–42.3,40.0,39.3,39.3,57.0,33.9
401–500,Harbin Institute of Technology,China,"29,603",9.9,12%,32 : 68,38.8–42.3,39.5,36.8,44.0,99.3,36.7
401–500,Hokkaido University,Japan,"18,225",8.1,11%,31 : 69,38.8–42.3,45.7,40.1,30.0,58.7,39.2
401–500,Hong Kong Baptist University,Hong Kong,"8,759",11.6,45%,65 : 35,38.8–42.3,27.9,22.0,58.1,38.4,97.6
401–500,University of Houston,United States,"44,128",25.7,9%,50 : 50,38.8–42.3,33.6,25.9,58.0,36.8,42.5
401–500,Hunan University,China,"40,715",20.4,2%,46 : 54,38.8–42.3,23.6,24.1,74.9,52.6,22.4
401–500,Indian Institute of Technology Bombay,India,"10,267",16.1,1%,19 : 81,38.8–42.3,44.7,39.6,34.9,80.3,21.0
401–500,Indian Institute of Technology Delhi,India,"7,284",14.8,1%,20 : 80,38.8–42.3,48.5,27.9,49.0,73.9,17.6
401–500,Indian Institute of Technology Kharagpur,India,"9,167",12.3,0%,18 : 82,38.8–42.3,41.3,38.9,39.0,91.9,18.8
401–500,University of Innsbruck,Austria,"14,128",12.6,40%,53 : 47,38.8–42.3,27.6,21.8,62.0,43.1,97.4
401–500,ITMO University,Russian Federation,"10,206",13.1,16%,37 : 63,38.8–42.3,30.6,28.0,49.8,84.6,62.1
401–500,University of Kansas,United States,"24,526",9.9,9%,52 : 48,38.8–42.3,36.9,22.6,68.3,43.5,35.4
401–500,University of Kentucky,United States,"27,078",12.4,4%,55 : 45,38.8–42.3,37.0,24.9,55.5,38.4,38.0
401–500,University of KwaZulu-Natal,South Africa,"36,660",29.2,4%,58 : 42,38.8–42.3,25.4,28.7,70.1,36.8,55.0
401–500,Kyushu University,Japan,"18,643",8.8,13%,28 : 72,38.8–42.3,44.2,39.2,34.3,75.3,38.8
401–500,Leibniz University Hannover,Germany,"27,625",54.0,14%,40 : 60,38.8–42.3,36.8,29.9,46.1,52.3,48.6
401–500,Linköping University,Sweden,"18,544",11.2,12%,53 : 47,38.8–42.3,22.7,23.6,75.4,48.1,59.3
401–500,Liverpool John Moores University,United Kingdom,"19,461",17.4,14%,53 : 47,38.8–42.3,17.7,17.5,78.2,34.9,71.8
401–500,Mansoura University,Egypt,"140,126",24.9,3%,55 : 45,38.8–42.3,19.1,9.2,88.1,39.6,44.3
401–500,Middlesex University,United Kingdom,"15,649",18.0,45%,60 : 40,38.8–42.3,19.4,17.3,74.2,34.6,88.3
401–500,University of Milan-Bicocca,Italy,"26,509",28.9,6%,62 : 38,38.8–42.3,23.7,20.2,80.7,39.1,44.3
401–500,University of Missouri-St Louis,United States,"7,019",16.0,6%,58 : 42,38.8–42.3,30.0,24.7,70.3,40.4,40.6
401–500,Mizzou - University of Missouri,United States,"28,513",13.3,6%,53 : 47,38.8–42.3,34.9,24.2,65.7,35.5,39.9
